record_id,source,text,label,confidence,vader_compound,textblob_polarity,textblob_subjectivity,dominant_emotion,keywords,joy,anger,fear,sadness,surprise,trust,disgust,anticipation
A001,amazon,Absolutely amazing sound quality! The noise cancellation is top-notch and battery lasts forever. Best purchase of the ye…,positive,0.8914,0.8713,0.65,0.525,joy,['amazing'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A002,amazon,Broke after just 3 weeks. Customer service was completely useless and refused a refund. Terrible quality for the price.,negative,0.9162,-0.8874,-0.75,0.6,anger,"['useless', 'terrible']",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A003,amazon,"Decent headphones. Sound is okay, not great. Comfortable enough for long sessions. Nothing special but does the job.",negative,0.6127,-0.49,0.1717,0.5735,joy,['great'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A004,amazon,"This smartwatch exceeded all my expectations! Gorgeous display, accurate health tracking, and the battery lasts 3 days. …",positive,0.8301,0.8114,0.4333,0.6911,trust,['recommend'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A005,amazon,Disappointed with this purchase. The strap broke within a week and the heart rate monitor is wildly inaccurate. Waste of…,negative,0.7194,-0.5423,-0.2833,0.3833,sadness,['disappointed'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A006,amazon,"It works as advertised. Setup was simple, syncs well with my phone. Average product at an average price.",positive,0.562,0.2732,-0.1,0.3857,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A007,amazon,"Perfect coffee every morning! Easy to use, easy to clean, makes rich full-flavored coffee. My family loves it!",positive,0.8908,0.9642,0.5076,0.7778,joy,['perfect'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A008,amazon,Leaks everywhere. Had to return it. The carafe design is terrible and the heating element is weak. Very unhappy.,negative,0.8968,-0.8439,-0.7183,0.875,anger,"['terrible', 'unhappy']",0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
A009,amazon,Makes good coffee. Takes about 8 minutes for a full pot. Would be better with a thermal carafe but it's fine.,positive,0.7858,0.6249,0.4917,0.5375,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A010,amazon,"These shoes are incredible! Super lightweight, amazing cushioning, ran my first marathon in them. Absolutely love these!",positive,0.8933,0.9364,0.5617,0.68,joy,"['incredible', 'amazing', 'love']",0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0
A011,amazon,Sizing is completely wrong. Ordered my usual size and they're way too tight. Gave me blisters. Very disappointing.,negative,0.8205,-0.7837,-0.4271,0.5864,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A012,amazon,Comfortable shoes for casual running. Nothing groundbreaking but solid construction. True to size for me.,positive,0.7163,0.6792,0.0625,0.6042,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S001,social,Just tried the new iPhone update and WOW the camera improvements are insane! Best smartphone camera I've ever used #Appl…,positive,0.7708,0.8633,0.0591,0.6886,surprise,['wow'],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
S002,social,This airline lost my luggage AGAIN and customer service just hung up on me. Absolutely furious. Never flying with them a…,negative,0.6827,-0.7425,0.2,0.9,anger,['furious'],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S003,social,"New season of the show drops tonight. It's fine I guess, nothing that exciting but I'll probably watch it anyway",neutral,0.9001,-0.1063,0.2843,0.5848,anticipation,['exciting'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S004,social,Visited this cafe today and the vibe was absolutely perfect ✨ The lattes are gorgeous and the pastries are out of this w…,positive,0.9647,0.9241,0.9375,0.95,joy,"['perfect', 'recommend']",0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
S005,social,"Had the worst dining experience of my life here. Cold food, rude staff, and they got my order completely wrong twice. Di…",negative,0.9163,-0.9344,-0.68,0.9,anger,"['worst', 'disgusting']",0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
S006,social,Average brunch spot. Food was okay. Service was slow but staff were polite. Parking was easy. Would probably go back if …,positive,0.7139,0.6486,0.0967,0.4267,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S007,social,"This new gaming laptop is a beast! 120fps on ultra settings, stays cool under load, and the display is stunning. Worth e…",positive,0.7946,0.7494,0.3489,0.5511,surprise,['stunning'],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
S008,social,Avoid this software at all costs. It deleted my project files and their support team took 2 weeks to respond with a usel…,negative,0.6955,-0.3182,-0.5,0.2,anger,['useless'],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S009,social,The framework is functional. Documentation could be better. Community is helpful when you have questions. It does what i…,positive,0.8072,0.6908,0.5,0.5,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S010,social,"Obsessed with this skincare brand! My skin has completely transformed in just 4 weeks. Glowing, clear, and hydrated. Lov…",positive,0.8232,0.944,0.2,0.5972,joy,['love'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S011,social,"Their app update broke everything. Can't login, can't access my data, and they haven't acknowledged the issue for 48 hou…",negative,0.9129,-0.7096,-1.0,1.0,anger,['terrible'],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S012,social,"Attended the annual conference this weekend. Good networking opportunities. Some sessions were interesting, others felt …",positive,0.7969,0.7964,0.29,0.37,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N001,news,"Tech giant reports record-breaking quarterly earnings, surpassing analyst expectations by 23%. CEO credits strong AI pro…",positive,0.8214,0.8268,0.3667,0.9111,surprise,"['record', 'surpassing']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
N002,news,Government faces mounting criticism over handling of infrastructure crisis. Opposition leaders call the response 'catast…,negative,0.8007,-0.9022,-0.15,0.2,fear,['crisis'],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
N003,news,Researchers published findings on new compound effectiveness in peer-reviewed journal. Study involved 340 participants o…,neutral,0.9919,0.0,-0.0101,0.4293,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N004,news,Stock markets surged to all-time highs amid investor optimism about strong employment data and easing inflation. Analyst…,positive,0.7928,0.8316,0.2167,0.3667,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N005,news,Climate scientists issue urgent warning as Arctic ice hits historic low levels. Experts call the situation 'deeply alarm…,negative,0.7539,-0.8464,0.0,0.2,fear,"['urgent', 'warning', 'alarming', 'irreversible']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
N006,news,"Merger between two retail chains officially completed after regulatory review. Combined entity will operate 1,200 stores…",neutral,1.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N007,news,"Breakthrough cancer treatment shows remarkable promise in early trials, with 78% of patients achieving complete remissio…",positive,0.5897,0.128,0.2567,0.69,surprise,"['breakthrough', 'remarkable', 'extraordinary']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
N008,news,"City experiencing alarming spike in cybercrime, with reports up 67% this year. Officials warn residents to be vigilant a…",negative,0.7606,-0.802,-0.1,0.6,fear,"['alarming', 'threat']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
N009,news,National team advances to championship semifinals following Tuesday's match. Coach stated the team will review footage a…,positive,0.6421,0.4404,0.05,0.375,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N010,news,"Startup secures $500M Series C funding in one of the largest rounds this year, fueling excitement about its revolutionar…",positive,0.7422,0.8074,0.0,0.0,surprise,['revolutionary'],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
N011,news,"Community groups express outrage over proposed park redevelopment plans, calling the project a betrayal of public trust …",negative,0.7072,-0.6908,0.0,0.0667,trust,"['trust', 'transparent']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
N012,news,Federal Reserve held interest rates steady at its monthly meeting. Board members cited mixed economic indicators as rati…,positive,0.6499,0.4588,0.0611,0.175,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
